Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	दृश्य में शॉट्स या इंजेक्शन्स, न कर पाएँ कि जलने वाला हो.	0.6866524815559387	0.32362011075019836	0.087321937084198
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	यह कहशुआब, हमें आपकी बात नहीं लगी और हम देखा गया कि आपके पूर्वज में ज्यादा सामरिटarian संघर्वितता थी और हम देखा गया कि आपके पूर्वज में कम सामरिटarian संघर्वितता थी।	0.6665686368942261	0.3612655699253082	0.30527859926223755
- Yeah.	- हाँ.	जी हाँ।	0.8145981431007385	0.8980653882026672	0.9293574094772339
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	अगरहत्प्रभाव हो सकता है	0.6646484732627869	0.4494312107563019	0.17431072890758514
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	प्रिया बी फ़्री बाउन्ड	0.6131665110588074	0.3936741054058075	0.38782447576522827
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	मैसेज सोर्स ‘%s’ से	0.7206512093544006	0.41463491320610046	0.3008730411529541
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	जिस तरह से निर्देश का स्थानांतरण किया जा सकता है, उसी तरह से प्लगged काम किया जा सकता है।	0.6672797203063965	0.3851121962070465	0.23427271842956543
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	वे हर सक्षम व्यक्ति को जंगल के विद्यार्थी को मारने के लिए मजबूर कर चुके थे.	0.7237053513526917	0.5234657526016235	0.675209641456604
My mother's from Sweden.	वो मेरी माँ है.	स्वीडन से मेरी माता-पिता की	0.7226343154907227	0.36583924293518066	0.28835031390190125
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	यह कहें: क्या मैं आपको बता सकता हूँ कि इनमें से बेहतर क्या है? जो लोग (दुष्ट) से बचत (रक्त) करते हैं, उसके नीच पर जो रिवेंट (प्रत्युत्त) करते हैं, उसे पर्याय माना है।	0.6969417333602905	0.3619653284549713	0.3084752559661865
