Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	अच्छे समय की उम्मीद में इंजेक्शन की शॉट वीडियो रिकॉर्ड की सकती हैं।	0.6684558987617493	0.40021517872810364	0.3377613425254822
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	यह कहा, “ओ शुआब, हम समझते नहीं कि आप हमारे साथ जैसे कुछ कह पाते हैं, और हम देख पाते हैं कि आप हमारे मूल्य पर बहुत ज्यादा चलते हैं। थोड़े खिलाफल हो सकते हैं.”	0.6952306032180786	0.4014429748058319	0.33446455001831055
- Yeah.	- हाँ.	जी हाँ।	0.8145981431007385	0.898065447807312	0.9293574094772339
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	अगर दुष्ट का सामना हो जाता है तो ही दिल जीतने के लिए उत्साहित;	0.6986417174339294	0.4796818196773529	0.3621724843978882
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	♪ याद रहें हमेशा साथ रहें हमेशा अपने	0.6460297703742981	0.35381487011909485	0.2322903424501419
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	मैसेज में संदेश देने वाले से ईमेल से एक गैर-मैक्सेसपोजी संदेश प्राप्त करना	0.7263674139976501	0.44750097393989563	0.34678083658218384
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	जी हाँ! निर्देशों को अनुकूलित digiKam में image हिस्ट्रामी को स्थानांतरित करने वाले adjust levels plugin को	0.6895949244499207	0.4922785758972168	0.21573416888713837
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	वो ने वनसंज्ञानी पुरुषों को मारने के लिए जाने जा रहे थे	0.7012675404548645	0.4216085374355316	0.26480111479759216
My mother's from Sweden.	वो मेरी माँ है.	मेरी माता-पिता स्वीडन से हैं।	0.7260379791259766	0.666933536529541	0.7371762990951538
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	"अरे, क्या मैं इन्हें बेहतरीन क्या हो सकते हैं? जो लोग (द्वंद्व) से विरोध करते हैं, वे अपने प्रियजन (द्वंद्व) के नीचे (बeneath) होते हैं, और वे अपने पूर्ण ध्यान से मates को भी प्राथमिकता देते हैं और ऐसा व्यवहार करते हुए भी अपने आप को बेहतरीन स्थान मानते हुए अपने आप को में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में में maddyum

Source Sentence:
The two towers, which were the symbol of the regime, were now nothing but a pile of dust."	0.6252336502075195	0.23643332719802856	0.1467275172472
Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	पिल की तरह क्या है?	0.8513303995132446	0.5113357305526733	0.5528611540794373
Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	सब को जाना चाहे तो क्या पूछ रहे	0.6703469753265381	0.4300549030303955	0.2719205319881439
You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	आप दो अज्ञात व्यक्तियों को इस घर में अनजान से प्रवेश कराने के लिए कही.	0.8130404353141785	0.5454395413398743	0.5441540479660034
This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	यह पूरी स्थिति में काफी हो गई.	0.8081501722335815	0.42396941781044006	0.5270840525627136
Google Talk Home Name 3	गूगल टाक होम नाम 3	गूगल टॉक 3	0.873465359210968	0.7532750964164734	0.8800896406173706
