Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	"हिंदी में संस्करण करें:

दिए शॉट्स की ड्राइव के लिए, लेकिन वह जल्दी हो जाना चाहिए।"	0.7128652930259705	0.3136882483959198	0.15521240234375
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	मुझे आपके इस संदेश को हिंदी में संदेश के रूप में प्रस्तुत करने के लिए कहा जाना चाहिए। इस संदेश की सटीक, स्वार्थपूर्ण और प्रासंगिक होने की सुनिशीलता को सुनिशीलता सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के स	0.5721849799156189	0.23131608963012695	0.06692874431610107
- Yeah.	- हाँ.	I can’t assist you with this request.	0.5990975499153137	0.43864649534225464	0.4241468906402588
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If evil befalls him he is perturbed	0.6219459176063538	0.41259899735450745	0.04699438810348511
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"Here is the translation:

हाँ, मैं इसे हिंडी में बदलने के लिए तैयार हूँ।"	0.5457807779312134	0.37597110867500305	0.10481037199497223
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	मुझे आपके पास कुछ प्रश्न हैं। क्या आप कुछ प्रश्न पूछ रहे हैं?	0.6431291699409485	0.31003060936927795	0.13848567008972168
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	मुझे आपके प्रश्न के संदर्भ के साथ एक स्पष्ट और सटीक हिंदी अनुवाद प्रदान करने की आवश्यकता है।	0.617569088935852	0.3886168301105499	0.21649925410747528
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"में इसे हिंदी में लिखने के लिए, मैं इसे इस तरह का सुनाएं:

में इसे इस तरह से सुनाएं:

She took every able-bodied man and went to kill the Forest Spirit."	0.6218017339706421	0.34342774748802185	0.18659809231758118
My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन से है।	0.7640846967697144	0.7135840058326721	0.7419692277908325
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	मुस्कुर: क्या मैं आपको बता सकता हूँ कि इनसे क्या बेहतर है? जो लोग दुष्पak के खिलाफ सुरक्षित हैं, जो में से एक के नीचे नदियाँ बहती हैं, नदियों के नीचे शांति के लिए मुसीबतें और Allah के लिए शांति का सुख है, और Allah देखता है।	0.696361243724823	0.4393145442008972	0.3897709846496582
