Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	"देखें: 

देखें कि कोई छोटी गोलियां या खुराकें दिए जाते हैं, लेकिन वह जल्द ही ठीक हो जाना चाहिए।"	0.7302801012992859	0.5687928795814514	0.7149662375450134
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"मैं इस टेक्स्ट को हिंदी में अनुवाद करता हूं।

वे कहते हैं, ""ओ शुआब, हमें आपकी बातें से बहुत कुछ समझने में मुश्किल है, और हमें लगता है कि आप हमारे साथ कमजोर हैं। यदि यह नहीं था, तो हम आपको मारने के लिए तुम्हारे समुद्र के लोगों के साथ मारने के लिए हमारे बीच में होते। आप किसी भी मूल्य के नहीं हैं।"""	0.7258768081665039	0.44835612177848816	0.4402860999107361
- Yeah.	- हाँ.	"माफ़ कीजिये, यहाँ हिंदी में इसका अनुवाद है:

- हाँ"	0.720592200756073	0.4606935381889343	0.34761539101600647
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If दुष्ट होने से उसे परेशान हो जाता है	0.711124837398529	0.43059179186820984	0.3567664921283722
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"मुख्य भाषा: अंग्रेजी
हिंदी: बेहद पूर्व के बंध"	0.628951907157898	0.32941779494285583	0.23920412361621857
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	"मैंने आपके लिए हिंदी में इसे अनुवादित किया है:

मैंने कोशिका से एक प्राप्त स्रोत '%s' को संदेश में भेजने की कोशिश की"	0.7553989291191101	0.4820997416973114	0.34389662742614746
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	मीडिया हिस्ट्रोग्राम में सेटिंग्स को समायोजित करने के लिए डिगीकम के एक प्लग-in।	0.7701078057289124	0.6605461239814758	0.5978603959083557
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"मैं इस टेक्स्ट को हिंदी में अनुवाद करने के लिए प्रयास करूंगा।

वह हर किसी को लेकर जो सक्षम था, वह जंगली प्राणी को मारने के लिए जा रही थी।"	0.708408772945404	0.5245012044906616	0.49563533067703247
My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन से है।	0.7640846371650696	0.713583767414093	0.7419697046279907
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	"माफ़ कीजिये, यहाँ हिंदी में इसका अनुवाद है:

अरे, कहेंगे कि इनमें से क्या बेहतर है? जो लोग दुर्गंध के खिलाफ सुरक्षित रहते हैं, उनके पास मुसीबतों से बचने के लिए एक आश्रय है, जिसमें नदियाँ बहती हैं, जो लोगों को रहने के लिए होती हैं, और उन्हें शुद्ध प्रेम और अल्लाह का आनंद; और अल्लाह देखता है कि उनके सेवक।"	0.6736708879470825	0.5104320645332336	0.478922963142395
Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	मैं इसे हिंदी में अनुवाद नहीं कर सकता।	0.6753430962562561	0.40554723143577576	0.2362905740737915
Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	"मुझे यहाँ कुछ शब्दों का हिंदी अनुवाद मिला है:

क्या वर्तमान जल बहुत सुनिश्चित है"	0.6903821229934692	0.5217422842979431	0.43526387214660645
You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	"मैं आपके लिए हिंदी में इसे अनुवाद करता हूँ:

आप दो अज्ञात लोगों को इस घर में अनजानी रूप से प्रवेश करने के लिए मुझे आमंत्रित नहीं किया गया था।"	0.7403407692909241	0.5179128050804138	0.4228878617286682
This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	मैं इस पूरी स्थिति को पूरी तरह से फिक्स्ड नहीं हूं।	0.7847009897232056	0.4806665778160095	0.5476934909820557
Google Talk Home Name 3	गूगल टाक होम नाम 3	"Google Talk Home Name 3

हिंदी में: गूगल टॉक होम नाम 3"	0.7642162442207336	0.6929854154586792	0.626208484172821
All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	मुकदमे में गिरफ्तार व्यक्तियों के लिए लॉकडाउन आयोजित किया जाता है।	0.7632047533988953	0.619140088558197	0.5401411056518555
