Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	"Translate the following text from English to Hindi
EnSure the translation is accurate, fluent, and faithful to the original meaningDo not add, or change any information."	0.6267992258071899	0.22978530824184418	0.021632123738527298
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"Translate the following text from English to Hindi
EnSure the translation is accurate, fluent, and faithful to the original meaningDo not, and, and."	0.577967643737793	0.1652102768421173	0.1384790986776352
- Yeah.	- हाँ.	"The following text from English to Hindi
EnSure the translation is accurate, fluent, and faithful to the original meaningDo not add any information."	0.6173423528671265	0.3898942172527313	0.24579226970672607
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	The language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the	0.4554120600223541	0.1208597719669342	0.03628796711564064
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	I'm the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best	0.43641066551208496	0.17932552099227905	0.033503398299217224
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi. The language of the English to Hindi.	0.49762532114982605	0.18198993802070618	-0.0037174709141254425
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	The language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the language of the	0.4700795114040375	0.17252422869205475	0.03765026479959488
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	The text is the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do the original meaning Do Do the original meaning Do Do the original meaning Do Do Do	0.5353463888168335	0.19227096438407898	0.0858534723520279
My mother's from Sweden.	वो मेरी माँ है.	"I am the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of the best of

."	0.4757935106754303	0.1505051702260971	0.17108425498008728
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	The best of the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the world, the	0.4958723485469818	0.08263546228408813	0.08514383435249329
