Source_Dialogue	Reference	MT	BERTScore_F1	COMET	COMTAIL
Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	सही सुनने के लिए, इन कुछ शब्दों को हिंदी में अनुवाद करें	0.6689959764480591	0.35020768642425537	0.17457973957061768
They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	शुआब, वे किसी भी बात को समझने के लिए बहुत कम हैं, और हमें यह देख रहे कि तुम किसी के साथ कैसे हो? वे किसी के साथ कितना हो सकते हैं?	0.6955678462982178	0.36177292466163635	0.36747801303863525
- Yeah.	- हाँ.	"I can help you with the following text from English to Hindi:

-Yeah."	0.6527754664421082	0.4270837903022766	0.313496470451355
If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	अगर किसी को क्रोध होता है तो वह दृढ होता है।	0.7278423309326172	0.4855137765407562	0.7797895669937134
♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	Transliteration: प्रांत बेहूरन बाउन	0.5613580942153931	0.39322564005851746	0.13568809628486633
Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	मुझे किसी को मोबी में से मोबी का स्रोत मिले	0.6773967742919922	0.26663002371788025	0.07470627129077911
Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	Image histogram adjust levels plugin for digiKam	0.6634113788604736	0.3920205533504486	0.10894149541854858
She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	से वे सभी को किया गया था और उन्होंने वनस्थान को काटने के लिए किया।	0.7229010462760925	0.394824355840683	0.13965368270874023
My mother's from Sweden.	वो मेरी माँ है.	मेरी मात्रा से स्वीडन से है।	0.7378950119018555	0.31619012355804443	0.2760874927043915
Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	क्या आप इन्हें बेहतरीने की बताने के लिए कुछ कह सकते हैं? क्योंकि उन्हें (विरोध) के लिए सुरक्षा के लिए, उनके राजा के साथ, जो उनके लिए सुरक्षा के लिए, जो स्वामित्र और अलाह के लिए मित्र हैं, और अलाह के लिए अलाह का आनंद है।	0.6851195096969604	0.33712396025657654	0.2778894603252411
Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	क्या तो को फिल्स?	0.78907310962677	0.4756382405757904	0.2727815508842468
Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	क्या यह वर्तमान स्रोत सुलभ है?	0.7652981877326965	0.6647899746894836	0.7904469966888428
You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	आप दो अज्ञाती व्यक्ताओं को यह घर में प्रवेश कर देते हैं।	0.8288722038269043	0.5784322619438171	0.6634893417358398
This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	This whole situation is completely fucked.	0.7629317045211792	0.6941142082214355	0.4204813241958618
Google Talk Home Name 3	गूगल टाक होम नाम 3	Google Talk Home Name 3	0.7502121925354004	0.6639279723167419	0.541714072227478
All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	पूर्वी संकेत: कुल्ली के लिए संकेत है।	0.7467871904373169	0.414690762758255	0.337374746799469
