	Source_Dialogue	Reference	MT
0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	"माफी के लिए, मैं इसे हिंदी में नहीं बदल सकता। लेकिन मैं इसे सटीक और सटीक रूप में संसूचित कर सकता हूँ।

जैसा कि आप दावा कर रहे हैं, मैं इसे सटीक रूप में संसूचित कर सकता हूँ।"
1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"माफ़ कीजिये, लेकिन मैं केवल हिंदी में इसे पुनरावृत्तित नहीं कर सकता। 

मैं केवल हिंदी में इसे पुनरावृत्तित नहीं कर सकता।"
2	- Yeah.	- हाँ.	"हिंदी में इसका संस्करण है:

- है"
3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If दुष्ट होता है तो उसे परेशान होता है।
4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	प्रातः बिन्दने
5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	मुक्ति: प्रयास करने के लिए एक नॉन-मेल के स्रोत '%स' को संदेश मेल के स्रोत में स्थानांतरित करें।
6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	मीडिया हिस्ट्रामिक्स जोड़ी के लिए सेटिंग्स को सुधारने के लिए डिगी कैम के लिए एक प्लग जोड़ी के लिए सेटिंग्स को सुधारने के लिए
7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	मुख्य पात्रों के साथ वह जंगली प्राणियों को मार ली थी।
8	My mother's from Sweden.	वो मेरी माँ है.	मेरी मात्रा स्वीडन से है।
9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.
10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	हाँ, यह ठोसी के जैसी है
11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	पूरी पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास के पानी की संभावना के पास
12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	"माफी के लिए, मैं इसे हिंदी में पुनर्मूल्यांकन नहीं कर सकता। लेकिन मैं इसे पूरी तरह से पुनर्मूल्यांकन कर सकता हूँ।

सही पुनर्मूल्यांकन:

आप दोनों को यहाँ मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर मिलकर म"
13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	"माफी के लिए, मैं इसे हिंदी में परिभाषित नहीं कर सकता। लेकिन मैं इसे सटीक और सटीक रूप में प्रस्तुत कर सकता हूँ।

इस स्थिति को पूरी तरह से फेक है।"
14	Google Talk Home Name 3	गूगल टाक होम नाम 3	Google Talk Home Name 3
15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	"पूरी सामाजिक संरचना के लिए, मैं इसे पूरी सामाजिक संरचना के लिए पुनर्मूल्यांकन कर रहा हूँ। 

पूरी सामाजिक संरचना के लिए पूरी सामाजिक संरचना के लिए पुनर्मूल्यांकन कर रहा हूँ।"
16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	"माफी के लिए, मैंने इस टेक्स्ट को हिंदी में अनुवाद नहीं किया है। लेकिन मैंने इस टेक्स्ट को अनुवाद किया है:

नहीं देखा, द्वितीया के लोगों ने देखा कि हमेशा एक साथ थे जो है हमेशा एक साथ थे और हमने उन्हें पारित किया और हमने पूरे जीवित जीवों को पानी से बनाया। क्या वे पूरी से स्वीकारी होंगी?"
17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	तो साइनर को बंद कर दें।
18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	Name:
19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	"हालांकि मैं केवल एक सॉफ्टवेयर हूं जो किसी भी प्रकार के संदेश को संस्कृत में प्रस्तुत कर सकता हूं, मैं किसी भी संदेश को संस्कृत में प्रस्तुत नहीं कर सकता। 

संस्कृत में ""हालांकि मैं केवल एक सॉफ्टवेयर हूं जो किसी भी प्रकार के संदेश को संस्कृत में प्रस्तुत कर सकता हूं, मैं किसी भी संदेश को संस्कृत में प्रस्तुत नहीं कर सकता।"""
20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	माफ़ कीजिये, लेकिन मैं इसे हिंदी में नहीं भाषा के लिए पुनरावृत्तित नहीं कर सकता। मैं केवल संस्कृत के लिए पुनरावृत्तित कर सकता हूँ।
21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	I am not going to drink it.
22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	"माफी के लिए, मैंने इस टेक्स्ट को हिंदी में संस्करण नहीं किया है। लेकिन मैं इस टेक्स्ट को संस्करण कर सकता हूं।

मुस्लिम मुस्लेमानों के बीच में कुछ वाक्यों को संस्करण किया जा सकता है:

यदि अल्लाह को चाहे तो वह आपके दिल को धोखा देती है। अल्लाह के शब्दों से जो सच्चाई को रोकता है वह सच्चाई को साक्षर कर देती है। अल्लाह को जानती है कि लोगों के बीच में क्या है (लोगों के बीच में क्या है)।"
23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	मेरी सामान को बिना किसी मामूल्य के मिले के हुआ है। मैंने उसे मेरे लिए किसी भी कीमत के साथ मिले हुआ है।
24	- No. Not here!	- यहाँ नहीं नहीं!	- क्या यहाँ नहीं है
25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	"माफ़ कीजिये, लेकिन मैं केवल हिंदी में इसे तात्किक रूप में प्रस्तुत कर सकता हूँ। 

माफ़ कीजिये, लेकिन मैं केवल हिंदी में इसे तात्किक रूप में प्रस्तुत कर सकता हूँ।

यहाँ कुछ संभावित प्रस्तुतियाँ हैं:

माफ़ कीजिये, लेकिन मैं केवल हिंदी में इसे तात्किक रूप में प्रस्तुत कर सकता हूँ।

माफ़ कीजिये, लेकिन मैं केवल हिंदी में इसे तात्किक रूप में प्रस्तुत कर सकता हूँ।

यहाँ कुछ संभावित प्रस्तुतियाँ हैं:

माफ़ कीजिये, लेकिन मैं केवल हिंदी में इसे तात्किक रूप में प्रस्तुत कर सकता हूँ।

माफ़ कीजिये, लेकिन मैं केवल हिंदी में इस"
26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	मिल जाने के लिए मिल जाने के लिए
27	MURPH:	MURPH:	मूर्फ
28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	मOUNTAINS के स्थापन के बारे में क्या है
29	Bold	गाढ़ा	"Hindi Translation:
बोल्ड"
30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	"माफ़ कीजिये, लेकिन मैं इसे हिंदी में नहीं भाषा के लिए पुनरावृत्तित नहीं कर सकता। मैं केवल हिंदी में इसे पुनरावृत्तित कर सकता हूं। 

माफ़ कीजिये, लेकिन मैं इसे हिंदी में नहीं भाषा के लिए पुनरावृत्तित नहीं कर सकता। मैं केवल हिंदी में इसे पुनरावृत्तित कर सकता हूं। 

माफ़ कीजिये, लेकिन मैं इसे हिंदी में नहीं भाषा के लिए पुनरावृत्तित नहीं कर सकता। मैं केवल हिंदी में इसे पुनरावृत्तित कर सकता हूं।"
