	Unnamed: 0.1	Unnamed: 0	Source_Dialogue	Reference	MT
0	0	0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	अरे फिर उन्हें इंजेक्शन शॉट्स डालने या चौबीज़ के दानी करने के तो पूरे हैं!
1	1	1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	जिस्म, वे कहते, “शुआिब, हम जो कुछ नहीं समझते हैं और जो कमजोर होते हैं, हमें तो संकलित किया जे नहीं तो स्थायी किया ज सके, हमें यह नहीं दिलाई कि हम जो कुछ नहीं समझते हैं और जो कमजोर होते हैं, वे भी हमें यह नहीं दिलाई कि हम जो कुछ नहीं समझते हैं और जो कमजोर होते हैं, वे भी हमें यह नहीं दिलाई कि हम जो कुछ नहीं समझते हैं और जो कमजोर होते हैं, वे भी हमें यह नहीं दिलाई कि हम जो कुछ नहीं समझते हैं और जो कमजोर होते हैं, वे भी हमें यह नहीं दिलाई कि हम जो कुछ नहीं समझते हैं और जो कमजोर होते हैं, वे भी हमें यह नहीं दिलाई
2	2	2	- Yeah.	- हाँ.	जी हुआ।
3	3	3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	अर्थात् किसी हिंसक हानिकारक का संघर्ष में संघर्त्तिकरण के लाभ होते हैं।
4	4	4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	बिलकुल सहा, बिलकुल नहीं लग सकती हाँ भी
5	5	5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	मैं %s से मेल कैसे बदल सकता हूँ?
6	6	6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	मूल्यों के लिए चिहने के स्ट्रेंड़ वाले प्लग्स डिज़िककम के लिए ह
7	7	7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	वह हर सक्षित व्यक्ति को जंगल का सैनिक तैयार कर लाया |
8	8	8	My mother's from Sweden.	वो मेरी माँ है.	मेरी मातृविद् from स्वीडनर्स।
9	9	9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	जिस व्यक्ति के पास है वो, हो सकता है, चाहे वो.
