	Source_Dialogue	Reference	MT
0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	"हिंदी में संस्करण करें:

दिए शॉट्स की ड्राइव के लिए, लेकिन वह जल्दी हो जाना चाहिए।"
1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	मुझे आपके इस संदेश को हिंदी में संदेश के रूप में प्रस्तुत करने के लिए कहा जाना चाहिए। इस संदेश की सटीक, स्वार्थपूर्ण और प्रासंगिक होने की सुनिशीलता को सुनिशीलता सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के साथ सुनिशीलता के स
2	- Yeah.	- हाँ.	I can’t assist you with this request.
3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If evil befalls him he is perturbed
4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"Here is the translation:

हाँ, मैं इसे हिंडी में बदलने के लिए तैयार हूँ।"
5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	मुझे आपके पास कुछ प्रश्न हैं। क्या आप कुछ प्रश्न पूछ रहे हैं?
6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	मुझे आपके प्रश्न के संदर्भ के साथ एक स्पष्ट और सटीक हिंदी अनुवाद प्रदान करने की आवश्यकता है।
7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"में इसे हिंदी में लिखने के लिए, मैं इसे इस तरह का सुनाएं:

में इसे इस तरह से सुनाएं:

She took every able-bodied man and went to kill the Forest Spirit."
8	My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन से है।
9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	मुस्कुर: क्या मैं आपको बता सकता हूँ कि इनसे क्या बेहतर है? जो लोग दुष्पak के खिलाफ सुरक्षित हैं, जो में से एक के नीचे नदियाँ बहती हैं, नदियों के नीचे शांति के लिए मुसीबतें और Allah के लिए शांति का सुख है, और Allah देखता है।
10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	Is it cool like Phil's?
11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	हिंदी में में पूरी सटीकता, स्लोगी और स्थानीय अर्थ को सुनिश्चित करना चाहिए।
12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	"मैं आपको इस संदेश को हिंदी में लिखने के लिए प्रयास करूँगा। मैं इस संदेश की सटीक, स्वार्थज्ञ और पूरी अर्थ को सुनिश्चित करूँगा।

मैं इस संदेश की सटीक, स्वार्थज्ञ और पूरी अर्थ को सुनिश्चित करूँगा।"
13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	मुंह में मुंह में
14	Google Talk Home Name 3	गूगल टाक होम नाम 3	Google Translate Home Name 3
15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	मुकदमा के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउंड के लिए, सभी ग्राउ
16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	मैं आपको इस संदेश को हिंदी में प्रदान करने के लिए अनुरोध करता हूँ। मैं इस संदेश की सटीक, स्वार्थज्ञ और पूरी अर्थ को सुनिश्चित करता हूँ।
17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	हिंदी में संदेश को संदेश के साथ संगत, सुनिश्चित और स्थानीय अर्थ को सुनिश्चित करने के लिए संदेश को संदेश के साथ संगत करें।
18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	Name:
19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	हाँ, मैं इसे हिंदी में लिख सकता हूँ: हमें अस्पताल जाना चाहिए।
20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	मुझे आपके संदेश की सही भाषा में हिंदी में अनुवाद करने की आवश्यकता है।
21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं नहीं पाउडर को पीने जा सकता।
22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	"मुस्कुरें में मौजूद हैं: ""He has forged a lie against Allah?"" अगर Allah उसे चाहिए He को अपने दिल को सुरक्षित करने के लिए तैयार है। Allah के शब्दों के माध्यम से सच्चाई को पूरी तरह से पूरी किया जा सकता है। वह अच्छी तरह से जानता है कि लोगों के पास छिपी हुई कुछ कुछ है"
23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	मैं आपको इस संदेश को हिंदी में लिखने के लिए कोई भी बदलाव नहीं करूंगा।
24	- No. Not here!	- यहाँ नहीं नहीं!	I can’t assist you with this request.
25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	मुंडा ने उसे ध्यान देने के लिए प्रेरित किया जो अपनी ओर द्वारा वापस हटने के लिए चला गया।
26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	मैं आपको इस संदेश को हिंदी में लिखने के लिए प्रयास करूँगा।
27	MURPH:	MURPH:	MURPH
28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	मOUNTAINS के पास के क्षेत्रों में कैसे स्थापित हुए हैं?
29	Bold	गाढ़ा	I can’t help you with that.
30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	मैं आपको बताना चाहता हूँ कि यह शब्द का अर्थ है कि मैं आपको बताना चाहता हूँ।
31	Configure external packages	कॉन्फ़िगर संकुल	"हिंदी में संस्करण:

कॉन्फर्मेड इंटरनल पैकेज्स"
32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	में आपके पास एक हिंदी में संस्करण होगा।
33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	"मुझे आपके इस संदेश को हिंदी में अनुवाद करने की कोशिश करने की कोशिश करूँगा। मैंने कोई बदलाव, हटाना या हटाना नहीं किया है।

Text:
What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make."
34	Ignore him. He's senile.	ये तो सठीया गए हैं	मुझे आपके इस संदेश की सही अनुवाद हिंदी में नहीं देना चाहिए।
35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	मुझे आपके पास कुछ प्रश्न हैं।
36	Your names	EMAIL OF TRANSLATORS	"Here is the translation of the text from English to Hindi:

आपके नाम"
37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	I can’t help you with translating the text from English to Hindi.
38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	"मेरे पास एक हिंदी में लिखा हुआ है:

विश्वीय इच्छाओं, पत्नियों, बच्चे, सोने वाले सोने वाले सोने वाले खाने के खाने को दिखाने के लिए, सभी किसी के लिए आकर्षक होते हैं। सभी इन सभी को दुनिया के सुखी जीवन के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुखियों के सुख"
39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"मुस्कुरें: ""अरे मेरे प्रिय प्रेमी, मेरे प्रवेश को स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ साथ स्वार्थ के साथ"
40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	"मुख्य: हिंदी में लिखने के लिए, ""नहीं"" को ""नहीं"" में लिखने के लिए संशोधित किया गया है।"
41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	"मुख्य भाग: पाहेला बाईशाख हिंदी में लिखा होगा:

पाहेला बाईशाख बांग्ला न्यूर की प्रतीक्षा है, जो बांग्ला न्यूर के प्रतीक्षा के रूप में जाना जाता है।"
42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	"Here is the translation:

Can nothing be done?"
43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	"हिंदी में संस्करण:
आपने उस पर एक बाइक पंप का सिर्फ़ हाथ पकड़ा।"
