	Unnamed: 0.1	Unnamed: 0	Source_Dialogue	Reference	MT
0	0	0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	दृश्य में शॉट्स या इंजेक्शन्स, न कर पाएँ कि जलने वाला हो.
1	1	1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	यह कहशुआब, हमें आपकी बात नहीं लगी और हम देखा गया कि आपके पूर्वज में ज्यादा सामरिटarian संघर्वितता थी और हम देखा गया कि आपके पूर्वज में कम सामरिटarian संघर्वितता थी।
2	2	2	- Yeah.	- हाँ.	जी हाँ।
3	3	3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	अगरहत्प्रभाव हो सकता है
4	4	4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	प्रिया बी फ़्री बाउन्ड
5	5	5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	मैसेज सोर्स ‘%s’ से
6	6	6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	जिस तरह से निर्देश का स्थानांतरण किया जा सकता है, उसी तरह से प्लगged काम किया जा सकता है।
7	7	7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	वे हर सक्षम व्यक्ति को जंगल के विद्यार्थी को मारने के लिए मजबूर कर चुके थे.
8	8	8	My mother's from Sweden.	वो मेरी माँ है.	स्वीडन से मेरी माता-पिता की
9	9	9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	यह कहें: क्या मैं आपको बता सकता हूँ कि इनमें से बेहतर क्या है? जो लोग (दुष्ट) से बचत (रक्त) करते हैं, उसके नीच पर जो रिवेंट (प्रत्युत्त) करते हैं, उसे पर्याय माना है।
10	10	10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	जैसा है फिल के?
11	11	11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	जैसा है कि इस स्ट्रीम को पाने के लिए है
12	12	12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	आप दो अज्ञक मैन भी इस घर में बिना जाते पाए.
13	13	13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	इस सबब से जुड़ी सभी स्थितियाँ पूरी तरह से फ़ॉकड़ा हो गई है।
14	14	14	Google Talk Home Name 3	गूगल टाक होम नाम 3	यह साँपों के चूर्ण से बने एक प्रकार से बुलाये जाने वाले व्यक्त के पास 3
15	15	15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	लॉकडाउट के समय से सभी को कोर्ट के लिए अपना पास कर दिया हो
16	16	16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	जिस तरह से ईमानदार लोगों ने आकाश और पृथ्वी को एक साथ दिए, उन्हें ऐसा लगने के लिए भी नहीं कि वे सही कह सकते हैं।
17	17	17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	सीनर को वापस कर दे.
18	18	18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	नाम:
19	19	19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	हमें अस्पताल जाना चाहिए।
