	Source_Dialogue	Reference	MT
0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	सही सुनने के लिए, इन कुछ शब्दों को हिंदी में अनुवाद करें
1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	शुआब, वे किसी भी बात को समझने के लिए बहुत कम हैं, और हमें यह देख रहे कि तुम किसी के साथ कैसे हो? वे किसी के साथ कितना हो सकते हैं?
2	- Yeah.	- हाँ.	"I can help you with the following text from English to Hindi:

-Yeah."
3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	अगर किसी को क्रोध होता है तो वह दृढ होता है।
4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	Transliteration: प्रांत बेहूरन बाउन
5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	मुझे किसी को मोबी में से मोबी का स्रोत मिले
6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	Image histogram adjust levels plugin for digiKam
7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	से वे सभी को किया गया था और उन्होंने वनस्थान को काटने के लिए किया।
8	My mother's from Sweden.	वो मेरी माँ है.	मेरी मात्रा से स्वीडन से है।
9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	क्या आप इन्हें बेहतरीने की बताने के लिए कुछ कह सकते हैं? क्योंकि उन्हें (विरोध) के लिए सुरक्षा के लिए, उनके राजा के साथ, जो उनके लिए सुरक्षा के लिए, जो स्वामित्र और अलाह के लिए मित्र हैं, और अलाह के लिए अलाह का आनंद है।
10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	क्या तो को फिल्स?
11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	क्या यह वर्तमान स्रोत सुलभ है?
12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	आप दो अज्ञाती व्यक्ताओं को यह घर में प्रवेश कर देते हैं।
13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	This whole situation is completely fucked.
14	Google Talk Home Name 3	गूगल टाक होम नाम 3	Google Talk Home Name 3
15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	पूर्वी संकेत: कुल्ली के लिए संकेत है।
16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	दोहरों के विरोधी ने देखा कि देवन और भूवस्त के साथ एक साथ हैं, तो हम उन्हें पाना चाहिए, और हमें जीवन को पाना चाहिए। तो उन्हें फ़ालस्ता के लिए प्रतिस्पर्ण करें।
17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	सेंटर को खाली करें।
18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	Name:
19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	हमें एक अस्पताल में जाने की सलाह दें।
20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	Whoa! So... What is your...
21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं नहीं देखूंगा।
22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	दोइयों के लिए, यह कहानी को अंग्रेजी से अंग्रेजी में बदलने के लिए सुरक्षित है।
23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	No, but I traded the BMW in for a Mercedes four weeks ago, remember?
24	- No. Not here!	- यहाँ नहीं नहीं!	No. Not here!
25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	मुझे इस प्रश्न को समझाने की सिफाकी है, और इसे सही और सही होने की सिफाकी है।
26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	अर्थ: कुछ भी किया गया है।
27	MURPH:	MURPH:	MURPH:
28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	मOUNTAINS – कैसे उन्हें बनाया गया है?
29	Bold	गाढ़ा	Text:
30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	अनुस्त: और वह आपको कह रहा है कि मैंने आपके लिए तैयार रखा है।
31	Configure external packages	कॉन्फ़िगर संकुल	क्या आप किसी विशेष प्रकार के प्रोग्रेसमेंट के लिए स्टैंडर्ड के साथ काम करना चाहते हैं?
32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	बैंक ने इस स्थिति को स्वीकार करने के लिए, इस सख्ती को स्वीकार कर रहा है। इस सख्ती के लिए, इस सख्ती को स्वीकार कर रहा है।
33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	क्या! क्या! दोस्त जो अपने द्वारा की बातें और द्वारा के प्रतीकार करते हैं, वह वे अपने द्वारा के लिए के बाद के लोगों को समानता में ले लेते हैं, क्या? क्या? इलल है द्वारा के निर्देश, क्या?
34	Ignore him. He's senile.	ये तो सठीया गए हैं	मुझे किसी को छोड़ना चाहिए। वह सीनीला है।
35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	Failed to get the DN for user '%s'
36	Your names	EMAIL OF TRANSLATORS	अपने नाम
37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	क्या आप मुझसे किस प्रकार के शब्दों को संस्कृत में स्थापित कर सकते हैं?
38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.
39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	"अर्थ: ""मेरे भगवान, मेरी शुभावरण, मेरी विदेश, मेरी सेवा से मुझे सशक्ति देने के लिए, जो मुझे सहान करेगा।"
40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	There are no songs to write to disc
