	Source_Dialogue	Reference	MT
0	Give shots of injections or pills, but he must be alright soon.	सुई लगाओ या गोली खिलाओ लेकिन इसे जल्दी से ठीक करो.	"देखें: 

देखें कि कोई छोटी गोलियां या खुराकें दिए जाते हैं, लेकिन वह जल्द ही ठीक हो जाना चाहिए।"
1	They said, “O Shuaib, we do not understand much of what you say, and we see that you are weak among us. Were it not for your tribe, we would have stoned you. You are of no value to us.”	और वह लोग कहने लगे ऐ शुएब जो बाते तुम कहते हो उनमें से अक्सर तो हमारी समझ ही में नहीं आयी और इसमें तो शक नहीं कि हम तुम्हें अपने लोगों में बहुत कमज़ोर समझते है और अगर तुम्हारा क़बीला न होता तो हम तुम को (कब का) संगसार कर चुके होते और तुम तो हम पर किसी तरह ग़ालिब नहीं आ सकते	"मैं इस टेक्स्ट को हिंदी में अनुवाद करता हूं।

वे कहते हैं, ""ओ शुआब, हमें आपकी बातें से बहुत कुछ समझने में मुश्किल है, और हमें लगता है कि आप हमारे साथ कमजोर हैं। यदि यह नहीं था, तो हम आपको मारने के लिए तुम्हारे समुद्र के लोगों के साथ मारने के लिए हमारे बीच में होते। आप किसी भी मूल्य के नहीं हैं।"""
2	- Yeah.	- हाँ.	"माफ़ कीजिये, यहाँ हिंदी में इसका अनुवाद है:

- हाँ"
3	If evil befalls him he is perturbed;	जि उसे तकलीफ़ पहुँचती है तो घबरा उठता है,	If दुष्ट होने से उसे परेशान हो जाता है
4	♪ BE FOREVER BOUND	♪हमेशाके लिएबाध्यहोने	"मुख्य भाषा: अंग्रेजी
हिंदी: बेहद पूर्व के बंध"
5	Trying to movemail a non-mbox source '%s'	एक गैर-mbox स्रोत '%s' में डाक भेजने की कोशिश	"मैंने आपके लिए हिंदी में इसे अनुवादित किया है:

मैंने कोशिका से एक प्राप्त स्रोत '%s' को संदेश में भेजने की कोशिश की"
6	Image histogram adjust levels plugin for digiKam	डिज़ीकैम के लिए इमेज़ हिस्टोग्राम एडजस्ट लेवल्स प्लगइन	मीडिया हिस्ट्रोग्राम में सेटिंग्स को समायोजित करने के लिए डिगीकम के एक प्लग-in।
7	She took every able-bodied man and went to kill the Forest Spirit.	- लेडी Eboshi कहां है? हर आदमी है जो स्थानांतरित कर सकता लिया और हिरण भगवान को मारने के लिए चला गया.	"मैं इस टेक्स्ट को हिंदी में अनुवाद करने के लिए प्रयास करूंगा।

वह हर किसी को लेकर जो सक्षम था, वह जंगली प्राणी को मारने के लिए जा रही थी।"
8	My mother's from Sweden.	वो मेरी माँ है.	मेरी माँ स्वीडन से है।
9	Say: Shall I tell you what is better than these? For those who guard (against evil) are gardens with their Lord, beneath which rivers flow, to abide in them, and pure mates and Allah's pleasure; and Allah sees the servants.	(ऐ रसूल) उन लोगों से कह दो कि क्या मैं तुमको उन सब चीज़ों से बेहतर चीज़ बता दूं (अच्छा सुनो) जिन लोगों ने परहेज़गारी इख्तेयार की उनके लिए उनके परवरदिगार के यहॉ (बेहिश्त) के वह बाग़ात हैं जिनके नीचे नहरें जारी हैं (और वह) हमेशा उसमें रहेंगे और उसके अलावा उनके लिए साफ सुथरी बीवियॉ हैं और (सबसे बढ़कर) ख़ुदा की ख़ुशनूदी है और ख़ुदा (अपने) उन बन्दों को खूब देख रहा हे जो दुआऐं मॉगा करते हैं	"माफ़ कीजिये, यहाँ हिंदी में इसका अनुवाद है:

अरे, कहेंगे कि इनमें से क्या बेहतर है? जो लोग दुर्गंध के खिलाफ सुरक्षित रहते हैं, उनके पास मुसीबतों से बचने के लिए एक आश्रय है, जिसमें नदियाँ बहती हैं, जो लोगों को रहने के लिए होती हैं, और उन्हें शुद्ध प्रेम और अल्लाह का आनंद; और अल्लाह देखता है कि उनके सेवक।"
10	Is it cool like Phil's?	यह अच्छा है फिल की तरह है?	मैं इसे हिंदी में अनुवाद नहीं कर सकता।
11	Whether the current stream is seekable	क्या मौजूदा स्ट्रीम seekable है	"मुझे यहाँ कुछ शब्दों का हिंदी अनुवाद मिला है:

क्या वर्तमान जल बहुत सुनिश्चित है"
12	You let two unknown men enter this house uninvited.	आप दो अज्ञात पुरुषों इस घर बिन बुलाए दर्ज करें.	"मैं आपके लिए हिंदी में इसे अनुवाद करता हूँ:

आप दो अज्ञात लोगों को इस घर में अनजानी रूप से प्रवेश करने के लिए मुझे आमंत्रित नहीं किया गया था।"
13	This whole situation is completely fucked.	यह पूरी स्थिति पूरी तरह से गड़बड़ है.	मैं इस पूरी स्थिति को पूरी तरह से फिक्स्ड नहीं हूं।
14	Google Talk Home Name 3	गूगल टाक होम नाम 3	"Google Talk Home Name 3

हिंदी में: गूगल टॉक होम नाम 3"
15	All prisoners report for Lockdown.	सभी कैदी लॉकडाउन के लिए रिपोर्ट करो.	मुकदमे में गिरफ्तार व्यक्तियों के लिए लॉकडाउन आयोजित किया जाता है।
16	Did not the disbelievers observe that the heavens and the earth were together, so We parted them, and we made every living thing from water? So will they not accept faith?	जो लोग काफिर हो बैठे क्या उन लोगों ने इस बात पर ग़ौर नहीं किया कि आसमान और ज़मीन दोनों बस्ता (बन्द) थे तो हमने दोनों को शिगाफ़ता किया (खोल दिया) और हम ही ने जानदार चीज़ को पानी से पैदा किया इस पर भी ये लोग ईमान न लाएँगे	देखा, ने किसी भी विश्वासी नहीं देखा कि हमें आकाश और पृथ्वी एक साथ देखी गईं, इसलिए हमें उन्हें अलग कर दिया और हमें हर जीव को पानी से बनाया। इसलिए, उन्हें क्या मानेंगे?
17	Turn the siren off.	आप ठीक हो जाएगा रहे हैं, अरे नहीं;	"माफ़ कीजिये, यहाँ हिंदी में इसका अनुवाद है:

साइनर को बंद कर दें।"
18	Name:	नाम: Refresh every [NUMERIC_ENTRY] [TIME_UNITS_COMBO]	Hindi में: नाम
19	We should go to a hospital.	हम एक अस्पताल जाना चाहिए।	मैं आपके लिए हिंदी में इसे अनुवाद नहीं कर सकता।
20	Whoa! So... What is your...	तो तुम्हारी योजना क्या है?	मैं कुछ हिंदी में इसे अनुवाद नहीं कर सकता।
21	I'm not going to drink it.	मैं इसे पीने के लिए नहीं जा रहा हूँ।	मैं नहीं पीता हूँ।
22	Do they say: “He has forged a lie against Allah?” If Allah so wanted He could seal up your heart. Allah blots out falsehood and confirms the truth by His Words. He is well aware of all the secrets hidden in the breasts (of people).	क्या ये लोग (तुम्हारी निस्बत कहते हैं कि इस (रसूल) ने ख़ुदा पर झूठा बोहतान बाँधा है तो अगर (ऐसा) होता तो) ख़ुदा चाहता तो तुम्हारे दिल पर मोहर लगा देता (कि तुम बात ही न कर सकते) और ख़ुदा तो झूठ को नेस्तनाबूद और अपनी बातों से हक़ को साबित करता है वह यक़ीनी दिलों के राज़ से ख़ूब वाक़िफ है	"मुझे आपके लिए हिंदी में इसे अनुवाद करना है:

उन्होंने कहा, ""वह एक झूठ का खेल खेला है कि अल्लाह ने?"" अगर अल्लाह आपके दिल को खत्म करना चाहे, तो वह आपके दिल को बंद कर देगा। अल्लाह झूठ को खत्म करता है और सच्चाई को सुनिश्चित करता है अपने शब्दों से। वह सभी के पास छिपे हुए सब कुछ को जानता है।"
23	No, but I traded the BMW in for a Mercedes four fucking weeks ago, remember?	लेकिन मर्सिडीज़ के लिए उसका सौदा किया था। याद है चार हफ़्ते पहले।	मैं आपके लिए हिंदी में इसे अनुवाद नहीं करूंगा।
24	- No. Not here!	- यहाँ नहीं नहीं!	"हिंदी में अनुवाद:
- मैं यहाँ नहीं हूँ"
25	It shall insistently summon him who turned his back and retreated,	(और) उन लोगों को अपनी तरफ बुलाती होगी	मैं इसे हिंदी में अनुवाद नहीं कर सकता।
26	And we've gathered around for that.	और हम उसके लिए चारों ओर इकट्ठा किया है।	मैं इसे हिंदी में अनुवाद नहीं कर सकता।
27	MURPH:	MURPH:	मुर्फ
28	And the mountains – how they have been established?	और पहाड़ों की तरफ़ कि किस तरह खड़े किए गए हैं	मOUNTAIN्स – क्यों कि उन्हें कैसे स्थापित किया गया है?
29	Bold	गाढ़ा	मैंने आपके लिए हिंदी में इसे अनुवाद नहीं किया है।
30	And he is going to say the word that I have prepared for you.	और वह मैं आप के लिए तैयार किया है कि शब्द कहने जा रहा है.	"मैं इसे हिंदी में अनुवाद करने के लिए प्रयास करूंगा।

मैंने पहले के विषय को समझा है और मैं इसे अनुवाद करने के लिए प्रयास करूंगा।

मैंने इसे अनुवाद करने के लिए प्रयास किया है:

And he is going to say the word that I have prepared for you."
31	Configure external packages	कॉन्फ़िगर संकुल	"हिन्दी में अनुवाद:
अन्यायपूर्ण संस्करण: स्थानीय पैकेजेज़ को स्थानीय संस्करण में स्थानांतरित करने के लिए परिस्थितियां तैयार करें।"
32	The bank, which declined to comment on the suspensions, confirmed this month that it has received requests for information from regulators.	बैंक ने निलम्बन के बारे में टिप्पणी करने से इन्कार करते हुए पुष्टि की है कि बैंक को इस महीने विनियामकों से सूचना के लिए अनुरोध प्राप्त हुआ है।	बैंक ने इस मामले में कोई बयान देने से इनकार किया है, इस महीने में यह बताया है कि यह बैंक ने इस स्थिति के लिए प्राप्त किए गए प्रश्नों से संबंधित जानकारी प्राप्त की है।
33	What! Do those who seek after evil ways think that We shall hold them equal with those who believe and do righteous deeds,- that equal will be their life and their death? Ill is the judgment that they make.	जो लोग बुरा काम किया करते हैं क्या वह ये समझते हैं कि हम उनको उन लोगों के बराबर कर देंगे जो ईमान लाए और अच्छे अच्छे काम भी करते रहे और उन सब का जीना मरना एक सा होगा ये लोग (क्या) बुरे हुक्म लगाते हैं	"माफ़ कीजिये, यहाँ हिंदी में इसका अनुवाद है:

अरे! जो लोग बुरे तरीकों की तलाश करते हैं, वे क्या सोचते हैं कि हम उन्हें समान रूप से अपने लिए मानेंगे, जो सच्चे काम करते हैं - जो जीवन और मृत्यु के लिए उनका जीवन और उनका मृत्यु होगी? यह निर्णय बहुत बुरा है।"
34	Ignore him. He's senile.	ये तो सठीया गए हैं	"माफ़ कीजिये, मैं इसे हिंदी में अनुवाद करता हूँ।

अपने उसे ध्यान देने की कोशिश करें, वह सुनने में असफल है।"
35	Failed to get the DN for user '%s'	DN को उपयोक्ता '%s' के लिए पाने में विफल	"माफ़ कीजिये, यहाँ है ट्रांस्लेट:

अपने उपयोगकर्ता के नाम '%s' के लिए डीएनए (डीएनी) प्राप्त करने में असफल रहा"
36	Your names	EMAIL OF TRANSLATORS	मेरे नाम
37	translator-credits	राजेश रंजन (rajeshkajha@yahoo.com, rranjan@redhat.com)%d hit(s) on this page	"मूल भाषा के अनुसार हिंदी में अनुवाद:

ट्रांस्लेटर-निशान"
38	Worldly desires, wives, children, accumulated treasures of gold and silver, horses of noble breed, cattle, and farms are all made to seem attractive to men. All these are the bounties of the worldly life but in the life to come God has the best place for people to dwell.	मनुष्यों को चाहत की चीजों से प्रेम शोभायमान प्रतीत होता है कि वे स्त्रिमयाँ, बेटे, सोने-चाँदी के ढेर और निशान लगे (चुने हुए) घोड़े हैं और चौपाए और खेती। यह सब सांसारिक जीवन की सामग्री है और अल्लाह के पास ही अच्छा ठिकाना है	मानवीय इच्छाएँ, पत्नियाँ, बच्चे, सोने और धातु के सोने के पैसे, शेरों के उच्च वर्ग के शेर, गाय, और खेतों को आकर्षक बनाने के लिए सभी को मानवीय जीवन में प्रस्तुत किया जाता है। इन सभी को मानवीय जीवन के बाद के लिए भगवान के सबसे अच्छे स्थान के लिए रखा है।
39	"And pray: ""O my Lord, let my entry be with honour, and let my exit be with honour, and grant me power from You which would help (sustain) me."""	"और कहो, ""मेरे रब! तू मुझे ख़ूबी के साथ दाख़िल कर और ख़ूबी के साथ निकाल, और अपनी ओर से मुझे सहायक शक्ति प्रदान कर।"""	मैं इसे हिंदी में अनुवाद नहीं कर सकता।
40	There are no songs to write to disc	डिस्क में लिखने के लिए कोई गीत नहीं है	मुझे कोई गाने लिखने के लिए कोई संगीत नहीं है।
41	An ordinary citizen writes about the rich culture of celebrating the Bangla New Year, Pahela Baishakh in Bangladesh.	एन आर्डिनेरी सिटिज़न ने बांग्लादेश में बांग्ला नववर्ष पोएला बोइशाख के पारंपरिक उत्सव और सांस्कृतिक धरोहर के बारे में पोस्ट लिखी है।	बंगाल के पाहेला बैशाख के पारंपरिक संस्कृति के बारे में एक आम नागरिक लिखता है।
42	Can nothing be done? !	कुछ भी नहीं किया जा सकता है?	मैं आपके लिए हिंदी में इसे अनुवाद नहीं कर सकता।
43	- You hit him with a bicycle pump?	- तुमने उसे एक साइकिल पंप से मारा?	- क्या तुमने उसे बाइक पंप से मारा?
44	I worried they take you away from me.	मुझे लगता है वे मुझे से दूर ले चिंतित है.	मैं चिंतित था कि वे तुम्हें मुझसे दूर ले जाएंगे।
